Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Post_Semester_GPA,Skill_Retention_Score
100001,Humanities,Senior,2.418,23.31,Copywriting/Drafting,2.393,86.44
100002,Medical,Junior,3.821,1.12,Ideation,3.696,69.39
100003,Business,Freshman,3.398,21.26,Summarizing_Reading,3.499,73.93
100004,Business,Senior,3.789,1.82,Copywriting/Drafting,4.0,63.58
100005,STEM,Sophomore,3.635,9.29,Debugging/Troubleshooting,3.798,100.0
100006,STEM,Junior,3.449,6.5,Debugging/Troubleshooting,3.666,65.92
100007,STEM,Freshman,3.622,31.41,Summarizing_Reading,4.0,67.97
100008,Arts,Junior,2.746,5.33,Copywriting/Drafting,2.965,85.09
100009,Business,Sophomore,3.42,2.0,Debugging/Troubleshooting,3.396,55.71
100010,Business,Sophomore,3.046,19.99,Debugging/Troubleshooting,2.978,87.18
100011,STEM,Graduate,3.407,5.16,Summarizing_Reading,3.617,95.42
100012,Medical,Junior,2.627,3.62,Direct_Answer_Generation,2.699,72.41
100013,Arts,Senior,3.479,2.86,Copywriting/Drafting,3.612,67.68
100014,STEM,Junior,3.225,8.95,Direct_Answer_Generation,3.935,64.47
100015,STEM,Freshman,3.202,1.22,Copywriting/Drafting,3.122,70.7
100016,STEM,Senior,2.076,14.74,Debugging/Troubleshooting,2.228,70.66
100017,Humanities,Sophomore,2.931,2.08,Direct_Answer_Generation,3.214,59.69
100018,Business,Senior,3.156,8.03,Direct_Answer_Generation,3.39,90.65
100019,Humanities,Junior,2.975,0.51,Summarizing_Reading,3.412,53.95
100020,STEM,Sophomore,3.305,0.2,Debugging/Troubleshooting,3.187,74.23
100021,Business,Sophomore,2.636,1.63,Copywriting/Drafting,2.758,78.28
100022,STEM,Senior,3.529,4.91,Debugging/Troubleshooting,3.358,67.56
100023,STEM,Junior,3.551,10.48,Copywriting/Drafting,3.749,68.81
100024,Humanities,Senior,3.579,0.45,Ideation,3.76,55.33
100025,Humanities,Freshman,2.364,28.72,Copywriting/Drafting,2.588,63.38
100026,Arts,Senior,3.308,2.38,Ideation,4.0,81.85
100027,STEM,Sophomore,3.338,18.62,Debugging/Troubleshooting,3.822,82.36
100028,Business,Junior,3.302,23.96,Ideation,3.487,67.74
100029,Business,Freshman,3.282,0.68,Ideation,3.088,74.67
100030,STEM,Sophomore,3.638,12.83,Debugging/Troubleshooting,4.0,61.29
100031,Business,Senior,3.731,1.26,Direct_Answer_Generation,3.989,88.44
100032,STEM,Sophomore,1.449,0.72,Debugging/Troubleshooting,1.342,56.81
100033,STEM,Graduate,2.856,1.27,Direct_Answer_Generation,3.276,74.03
100034,Medical,Senior,3.148,5.56,Summarizing_Reading,3.335,89.14
100035,Medical,Graduate,3.12,19.92,Summarizing_Reading,3.207,67.2
100036,Arts,Sophomore,3.632,1.17,Direct_Answer_Generation,3.553,55.89
100037,Humanities,Freshman,3.303,0.29,Copywriting/Drafting,3.145,75.11
100038,STEM,Junior,3.671,16.77,Debugging/Troubleshooting,3.636,96.68
100039,Business,Sophomore,2.403,1.58,Ideation,2.365,74.3
100040,Humanities,Junior,3.086,4.19,Debugging/Troubleshooting,3.452,92.44
100041,STEM,Senior,2.31,7.17,Debugging/Troubleshooting,2.686,84.71
100042,Humanities,Senior,3.539,0.41,Summarizing_Reading,3.812,72.05
100043,STEM,Freshman,3.777,8.06,Debugging/Troubleshooting,3.909,68.22
100044,Medical,Senior,3.048,4.67,Summarizing_Reading,3.277,79.79
100045,STEM,Junior,3.013,14.47,Debugging/Troubleshooting,3.447,62.75
100046,Business,Junior,3.503,6.34,Ideation,3.942,99.25
100047,Humanities,Sophomore,3.842,6.26,Copywriting/Drafting,4.0,76.67
100048,Business,Junior,3.511,8.04,Direct_Answer_Generation,3.567,86.73
100049,Business,Senior,2.645,8.78,Ideation,2.884,87.51
100050,STEM,Senior,3.115,13.39,Summarizing_Reading,3.644,83.76
100051,Medical,Sophomore,3.577,11.13,Summarizing_Reading,4.0,61.2
100052,Arts,Senior,2.433,11.16,Debugging/Troubleshooting,2.903,69.95
100053,Medical,Sophomore,2.958,11.36,Summarizing_Reading,3.155,59.46
100054,Medical,Senior,3.732,0.88,Ideation,3.885,79.82
100055,Business,Junior,3.148,0.16,Summarizing_Reading,3.393,62.77
100056,Medical,Senior,3.429,20.48,Direct_Answer_Generation,3.521,63.38
100057,STEM,Junior,3.837,2.23,Ideation,3.988,60.88
100058,STEM,Sophomore,3.249,9.77,Ideation,3.342,80.19
100059,STEM,Junior,3.015,2.7,Debugging/Troubleshooting,3.394,83.39
100060,Humanities,Sophomore,3.167,14.92,Summarizing_Reading,3.518,70.28
100061,Humanities,Sophomore,3.697,6.6,Ideation,3.914,77.49
100062,STEM,Freshman,3.463,2.47,Debugging/Troubleshooting,3.665,60.08
100063,Arts,Senior,2.164,17.37,Copywriting/Drafting,2.339,77.44
100064,Humanities,Freshman,2.771,7.02,Copywriting/Drafting,2.896,57.43
100065,STEM,Graduate,3.569,8.2,Ideation,3.922,75.58
100066,Business,Freshman,3.074,0.65,Ideation,3.416,80.16
100067,STEM,Graduate,3.329,6.73,Debugging/Troubleshooting,3.702,80.75
100068,Arts,Graduate,3.606,1.1,Ideation,3.758,60.58
100069,STEM,Sophomore,3.645,16.74,Direct_Answer_Generation,3.879,78.14
100070,Medical,Graduate,2.838,9.62,Copywriting/Drafting,2.951,65.48
100071,Arts,Graduate,3.047,18.86,Direct_Answer_Generation,3.295,53.65
100072,STEM,Freshman,3.117,13.89,Copywriting/Drafting,3.326,45.39
100073,STEM,Graduate,3.251,9.97,Debugging/Troubleshooting,3.687,80.79
100074,Arts,Freshman,2.579,8.72,Ideation,2.962,63.96
